Time/s,True_SOC,50,100,200,300
3835,0.61532,0.620837271,0.615640402,0.621232927,0.609067738
3836,0.61509,0.620689809,0.615498245,0.621006608,0.609131634
3837,0.61485,0.62052232,0.615320146,0.620778918,0.609235585
3838,0.61461,0.620325208,0.615096211,0.620560884,0.609259903
3839,0.61437,0.620102823,0.614828527,0.620326698,0.609211028
3840,0.61413,0.61985606,0.614522099,0.620078981,0.609058797
3841,0.61389,0.619590342,0.614186466,0.619820058,0.608775496
3842,0.61366,0.619319618,0.61383754,0.619527578,0.608520687
3843,0.61342,0.619040132,0.613478482,0.619237483,0.608294308
3844,0.61318,0.618746042,0.613109767,0.618961692,0.608074248
3845,0.61294,0.618436694,0.612728894,0.618710637,0.607763231
3846,0.6127,0.618120968,0.612344921,0.618450224,0.607458293
3847,0.61246,0.6177966,0.611959279,0.618200839,0.607099056
3848,0.61223,0.617470205,0.611579895,0.61794728,0.606720626
3849,0.61199,0.617145419,0.6112113,0.617696106,0.606311262
3850,0.61175,0.616826653,0.610860407,0.617436111,0.605947435
3851,0.61151,0.616515279,0.610526919,0.617174745,0.605678499
3852,0.61151,0.616262794,0.610300779,0.617151499,0.60558486
3853,0.61151,0.616050363,0.610126317,0.617343664,0.605539978
3854,0.61151,0.615854383,0.609975338,0.617599726,0.605486989
3855,0.61151,0.615653098,0.609834015,0.617786229,0.605396509
3856,0.61151,0.615439713,0.609699011,0.617832601,0.605233908
3857,0.61151,0.615216613,0.609576643,0.617724836,0.605003476
3858,0.61151,0.614992619,0.609476864,0.617499709,0.604715586
3859,0.61151,0.614774644,0.609411299,0.617212415,0.60443145
3860,0.61151,0.614573181,0.609383464,0.616932273,0.604164124
3861,0.61151,0.614387929,0.609395623,0.616699994,0.603982508
3862,0.61151,0.614218533,0.609437287,0.616556704,0.603824556
3863,0.61151,0.614068985,0.609499633,0.616502762,0.603600442
3864,0.61151,0.613940179,0.609583974,0.616503358,0.603330076
3865,0.61151,0.613836467,0.609692156,0.616535604,0.603040338
3866,0.61151,0.61375916,0.609825313,0.616584063,0.602740943
3867,0.61151,0.613705158,0.609986722,0.616627812,0.602505326
3868,0.61151,0.613671839,0.610170245,0.616670728,0.602331281
3869,0.61151,0.613651633,0.610371172,0.616703808,0.602258682
3870,0.61151,0.613635659,0.610579848,0.616723299,0.602364957
3871,0.61151,0.613615811,0.610773683,0.616758943,0.602498174
3872,0.61151,0.613586068,0.610944152,0.616790354,0.602593362
3873,0.61151,0.613550842,0.611088455,0.616806209,0.602615178
3874,0.61151,0.613517821,0.6112113,0.616804004,0.602539659
3875,0.61151,0.613491416,0.611324489,0.616782248,0.602393031
3876,0.61151,0.613479793,0.611438453,0.61675334,0.602181077
3877,0.61151,0.613488734,0.611564636,0.616724789,0.601931036
3878,0.61151,0.613517106,0.611716866,0.616687715,0.601820707
3879,0.61151,0.613563776,0.611883759,0.616689503,0.601744592
3880,0.61151,0.613625526,0.612062097,0.616717935,0.601655662
3881,0.61151,0.613699377,0.612255692,0.616742373,0.601667643
3882,0.61151,0.613785565,0.612452149,0.61678648,0.60168612
3883,0.61151,0.613879323,0.612653613,0.616821051,0.601785898
3884,0.61151,0.613980174,0.612847447,0.616866887,0.601854801
3885,0.61151,0.614081562,0.61304003,0.616885245,0.602044582
3886,0.61151,0.614180148,0.6132164,0.616909802,0.60227716
3887,0.61151,0.614263833,0.613373458,0.616920412,0.602637231
3888,0.61151,0.614328444,0.613491237,0.616943896,0.603002429
3889,0.61151,0.614368439,0.613562226,0.616966426,0.603299797
3890,0.61151,0.614385903,0.613585711,0.6169765,0.603479564
3891,0.61151,0.614389062,0.6135692,0.616965413,0.603536904
3892,0.61151,0.614379644,0.613527596,0.616927207,0.603551865
3893,0.61151,0.614361584,0.613468647,0.616881847,0.603545845
3894,0.61151,0.614337027,0.613395989,0.616848588,0.603457391
3895,0.61151,0.614307404,0.613322318,0.616806388,0.603416026
3896,0.61151,0.614270985,0.613245308,0.616782665,0.603378952
3897,0.61151,0.614227653,0.613166869,0.616768181,0.603371561
3898,0.61151,0.614172757,0.613085985,0.616757691,0.603444219
3899,0.61151,0.614108026,0.612992644,0.616769254,0.603474796
3900,0.61151,0.614031971,0.612890482,0.616773903,0.603489161
3901,0.61151,0.613944292,0.612780094,0.616765559,0.603530884
3902,0.61151,0.613845825,0.612661421,0.61675483,0.603572488
3903,0.61151,0.613740921,0.612533331,0.61674571,0.603552878
3904,0.61151,0.613636374,0.612398088,0.616739333,0.603378117
3905,0.61151,0.613540351,0.612272859,0.616711259,0.603119612
3906,0.61151,0.613463461,0.612169027,0.616676986,0.602787554
3907,0.61151,0.613406718,0.612104297,0.616625011,0.602576137
3908,0.61151,0.613368332,0.612073839,0.616597235,0.602476597
